Date,AGUAS-A.SN,ANDINA-B.SN,BCI.SN,BSANTANDER.SN,CAP.SN,CCU.SN,CENCOMALLS.SN,CENCOSUD.SN,CHILE.SN,CMPC.SN,COLBUN.SN,CONCHATORO.SN,COPEC.SN,ECL.SN,ENELAM.SN,ENELCHILE.SN,ENTEL.SN,FALABELLA.SN,IAM.SN,ITAUCL.SN,LTM.SN,MALLPLAZA.SN,ORO-BLANCO.SN,PARAUCO.SN,QUINENCO.SN,RIPLEY.SN,SMU.SN,SONDA.SN,SOQUICOM.SN,VAPORES.SN
2020-06-22,206.61563110351562,1484.822265625,16311.197265625,26.738985061645508,3471.101318359375,4762.7001953125,1077.8907470703125,928.5880126953125,59.94274139404297,1598.9647216796875,131.3917236328125,1090.30126953125,5698.8193359375,1119.6898193359375,123.8113021850586,52.71219253540039,2919.805419921875,2480.537841796875,499.88916015625,9309.1787109375,61.72763442993164,1309.8275146484375,1.6681151390075684,1374.3800048828125,663.1075439453125,207.22659301757812,101.3746337890625,438.7122802734375,125.54244232177734,17.293357849121094
2020-06-29,216.4580535888672,1545.03564453125,16780.5546875,28.156723022460938,3680.392578125,4974.642578125,1132.611083984375,1007.4010620117188,63.09589385986328,1646.271484375,138.87554931640625,1108.8084716796875,6047.74755859375,1165.576904296875,129.99085998535156,54.856529235839844,3129.05810546875,2718.817138671875,514.4326782226562,9896.630859375,63.323123931884766,1368.593994140625,1.6783891916275024,1496.7562255859375,722.2814331054688,224.84852600097656,103.18191528320312,476.1256103515625,139.0039825439453,18.443134307861328
2020-07-06,217.8855743408203,1478.3760986328125,15837.2314453125,26.849872589111328,3585.15869140625,4670.7255859375,1087.9442138671875,936.391357421875,60.71460723876953,1551.6583251953125,134.8888397216797,1060.0555419921875,6048.74755859375,1144.6826171875,123.17134094238281,52.854591369628906,3016.5791015625,2532.1376953125,508.38580322265625,9304.890625,62.480751037597656,1312.0770263671875,1.690530776977539,1421.44775390625,714.3578491210938,206.68936157226562,98.91809844970703,460.615234375,143.81991577148438,18.181396484375
2020-07-13,216.00723266601562,1424.7554931640625,16527.734375,25.42421531677246,3649.8681640625,4766.69873046875,1062.09228515625,983.2108764648438,58.95738220214844,1565.85009765625,134.38926696777344,1041.0340576171875,5971.7626953125,1075.701904296875,118.73165130615234,52.444149017333984,2944.68994140625,2431.6181640625,499.5989074707031,10291.1240234375,56.62875747680664,1232.7845458984375,1.6587748527526855,1364.96630859375,681.9891357421875,201.85406494140625,94.37982940673828,466.5411071777344,132.41294860839844,17.807483673095703
2020-07-20,202.2053680419922,1361.7586669921875,16119.4228515625,25.89943504333496,3827.00146484375,4662.72802734375,998.1083374023438,971.5059204101562,60.39436721801758,1608.4263916015625,136.3876190185547,1112.1500244140625,6198.71533203125,1104.69384765625,119.00163269042969,51.20446014404297,3035.933837890625,2498.72705078125,487.08038330078125,10248.244140625,64.5894775390625,1288.2705078125,1.7755244970321655,1308.4849853515625,674.5152587890625,202.67529296875,91.44134521484375,503.3733215332031,131.26235961914062,18.087919235229492
2020-07-27,199.95887756347656,1391.7921142578125,15549.283203125,26.097442626953125,3725.7548828125,4703.51611328125,1008.95166015625,1029.25,59.67997741699219,1586.6651611328125,136.87722778320312,1079.5909423828125,6178.7197265625,1084.699462890625,117.45174407958984,54.44609451293945,2985.169189453125,2584.791015625,467.3185119628906,11487.466796875,72.57808685302734,1261.652099609375,1.8577159643173218,1219.05615234375,696.8248901367188,198.78402709960938,90.37034606933594,499.28076171875,130.9829559326172,18.368349075317383
2020-08-03,197.59970092773438,1366.1539306640625,15476.142578125,25.34501075744629,3980.604736328125,4558.83544921875,998.6826782226562,993.35498046875,57.988441467285156,1591.395751953125,135.78811645507812,1182.409423828125,6010.7548828125,1094.6966552734375,114.09197998046875,53.022117614746094,2941.9248046875,2580.00439453125,468.09735107421875,11436.0107421875,73.90022277832031,1265.307373046875,1.9358328580856323,1238.8245849609375,685.5296020507812,197.9397735595703,89.64075469970703,507.7030944824219,135.25645446777344,19.88268280029297
2020-08-10,198.27587890625,1304.0360107421875,15457.88671875,25.46381950378418,4391.73779296875,4453.984375,998.1798706054688,1054.6107177734375,57.471126556396484,1551.6583251953125,134.78890991210938,1160.474609375,6137.72900390625,1071.403076171875,113.59201049804688,51.087188720703125,2908.74560546875,2695.93701171875,465.4420471191406,10895.7265625,74.64218139648438,1216.569580078125,2.030775547027588,1256.71044921875,685.6419067382812,210.8492431640625,88.70366668701172,525.1942749023438,155.44053649902344,21.8270206451416
2020-08-17,196.8483428955078,1325.864990234375,15348.9892578125,25.21828842163086,4660.576171875,4348.5732421875,995.9537963867188,1003.499267578125,57.142669677734375,1655.7327880859375,139.38516235351562,1151.1356201171875,6098.736328125,1056.7071533203125,115.39189147949219,51.09556198120117,2820.266357421875,2536.82861328125,462.63818359375,10805.6796875,72.61713409423828,1127.060791015625,2.0107874870300293,1219.05615234375,679.9661865234375,196.4815216064453,87.78662109375,503.3733215332031,164.00399780273438,22.902015686035156
2020-08-24,179.56027221679688,1248.656982421875,15327.2109375,24.164884567260742,4562.59716796875,4246.921875,910.2108764648438,956.28955078125,54.99130630493164,1575.3114013671875,125.89625549316406,1118.6617431640625,6068.84326171875,1018.7177124023438,115.48188018798828,50.84427261352539,2712.432373046875,2445.978271484375,440.51849365234375,10042.421875,73.91696166992188,1070.5438232421875,2.012786626815796,1167.2816162109375,679.9661865234375,189.95004272460938,86.19354248046875,495.1883239746094,163.37940979003906,21.976367950439453
2020-08-31,174.158203125,1343.43017578125,15312.0859375,24.25200843811035,4608.08935546875,4148.4677734375,939.94091796875,945.755126953125,54.19480514526367,1528.0047607421875,123.39830780029297,1091.672119140625,5718.916015625,1010.3199462890625,112.78207397460938,48.498905181884766,2688.2119140625,2412.4716796875,431.09429931640625,10205.365234375,71.47909545898438,1105.9725341796875,1.9858025312423706,1134.3341064453125,671.536865234375,189.4281463623047,84.67410278320312,467.93255615234375,158.81004333496094,21.686683654785156
2020-09-07,168.1475830078125,1334.72216796875,15021.6943359375,22.572900772094727,4771.4970703125,4103.27978515625,896.9257202148438,898.1553344726562,51.156612396240234,1493.9439697265625,129.64315795898438,1039.40625,5582.244140625,1009.72021484375,112.39209747314453,46.39643859863281,2607.3642578125,2307.165283203125,424.8349914550781,10291.1240234375,72.46651458740234,1076.4486083984375,1.9318352937698364,1110.8001708984375,645.2936401367188,180.3638916015625,79.09832000732422,459.668212890625,150.69859313964844,21.21718978881836
2020-09-14,171.30316162109375,1320.50634765625,14873.474609375,22.509540557861328,4483.89990234375,4118.87548828125,892.6171875,901.90087890625,51.320838928222656,1504.3514404296875,123.79798889160156,1113.8638916015625,5548.8505859375,989.7256469726562,114.48194122314453,45.65095520019531,2646.29443359375,2283.232421875,424.8349914550781,9755.1279296875,72.18758392333984,1063.79541015625,1.9788068532943726,1043.0225830078125,633.8296508789062,198.78402709960938,83.0007095336914,479.7864990234375,156.14732360839844,21.2271785736084
